Episode,Total Steps,Episode Reward,Average Reward,Best Reward,Actor Loss,Critic Loss,Actor LR,Buffer Size
81,6066,0.29999999999994653,2.270987654320968,17.55000000000025,0,0,3e-05,6066
82,6128,-0.15000000000005276,2.241463414634126,17.55000000000025,0,0,3e-05,6128
83,6204,3.949999999999938,2.2620481927710636,17.55000000000025,0,0,3e-05,6204
84,6297,10.50000000000023,2.3601190476190297,17.55000000000025,0,0,3e-05,6297
85,6396,3.8500000000000716,2.377647058823513,17.55000000000025,0,0,3e-05,6396
86,6470,4.700000000000165,2.404651162790683,17.55000000000025,0,0,3e-05,6470
87,6543,3.149999999999941,2.4132183908045826,17.55000000000025,0,0,3e-05,6543
88,6620,4.400000000000175,2.435795454545442,17.55000000000025,0,0,3e-05,6620
89,6694,4.150000000000136,2.45505617977527,17.55000000000025,0,0,3e-05,6694
90,6772,5.400000000000183,2.487777777777769,17.55000000000025,0,0,3e-05,6772
91,6857,4.150000000000174,2.5060439560439494,17.55000000000025,0,0,3e-05,6857
92,6929,1.5999999999999366,2.4961956521739057,17.55000000000025,0,0,3e-05,6929
93,6992,0.29999999999994653,2.4725806451612824,17.55000000000025,0,0,3e-05,6992
94,7083,10.700000000000205,2.560106382978718,17.55000000000025,0,0,3e-05,7083
95,7160,2.1999999999999345,2.556315789473678,17.55000000000025,0,0,3e-05,7160
96,7234,3.0499999999999394,2.561458333333326,17.55000000000025,0,0,3e-05,7234
97,7307,3.1499999999999373,2.5675257731958685,17.55000000000025,0,0,3e-05,7307
98,7379,2.699999999999938,2.5688775510203996,17.55000000000025,0,0,3e-05,7379
99,7451,2.699999999999938,2.5702020202020113,17.55000000000025,0,0,3e-05,7451
100,7549,11.10000000000025,2.6554999999999938,17.55000000000025,0,0,3e-05,7549
101,7615,1.0999999999999437,2.664999999999994,17.55000000000025,0,0,3e-05,7615
102,7688,3.1499999999999657,2.6649999999999947,17.55000000000025,0,0,3e-05,7688
103,7753,0.6499999999999471,2.6794999999999947,17.55000000000025,0,0,3e-05,7753
104,7840,-1.5500000000000833,2.6689999999999943,17.55000000000025,0,0,3e-05,7840
105,7919,1.449999999999931,2.6849999999999943,17.55000000000025,0,0,3e-05,7919
106,8006,3.949999999999924,2.7214999999999936,17.55000000000025,0,0,3e-05,8006
107,8081,4.599999999999943,2.7539999999999947,17.55000000000025,0,0,3e-05,8081
108,8143,-0.1500000000000492,2.725499999999995,17.55000000000025,0,0,3e-05,8143
109,8226,1.5999999999999224,2.7054999999999945,17.55000000000025,0,0,3e-05,8226
110,8306,3.5499999999999288,2.713999999999994,17.55000000000025,0,0,3e-05,8306
111,8378,2.6999999999999442,2.726499999999994,17.55000000000025,0,0,3e-05,8378
112,8452,3.049999999999936,2.7474999999999943,17.55000000000025,0,0,3e-05,8452
113,8527,3.499999999999935,2.7564999999999924,17.55000000000025,0,0,3e-05,8527
114,8600,3.149999999999941,2.7374999999999896,17.55000000000025,0,0,3e-05,8600
115,8676,3.9500000000001654,2.753499999999992,17.55000000000025,0,0,3e-05,8676
116,8753,4.950000000000177,2.7919999999999936,17.55000000000025,0,0,3e-05,8753
117,8815,-0.1500000000000492,2.7634999999999947,17.55000000000025,0,0,3e-05,8815
118,8891,3.950000000000098,2.7679999999999962,17.55000000000025,0,0,3e-05,8891
119,8980,9.80000000000021,2.821999999999996,17.55000000000025,0,0,3e-05,8980
120,9050,2.3499999999999437,2.8104999999999944,17.55000000000025,0,0,3e-05,9050
121,9122,2.6999999999999416,2.8229999999999946,17.55000000000025,0,0,3e-05,9122
122,9205,2.699999999999924,2.8139999999999947,17.55000000000025,0,0,3e-05,9205
123,9278,3.1499999999999764,2.7879999999999923,17.55000000000025,0,0,3e-05,9278
124,9354,3.949999999999938,2.812999999999992,17.55000000000025,0,0,3e-05,9354
125,9431,2.1999999999999345,2.8319999999999914,17.55000000000025,0,0,3e-05,9431
126,9523,13.45000000000018,2.959999999999994,17.55000000000025,0,0,3e-05,9523
127,9600,3.299999999999975,2.974499999999994,17.55000000000025,0,0,3e-05,9600
128,9670,2.34999999999994,2.999499999999994,17.55000000000025,0,0,3e-05,9670
129,9736,1.0999999999999437,2.834999999999992,17.55000000000025,0,0,3e-05,9736
130,9799,0.29999999999994653,2.822999999999992,17.55000000000025,0,0,3e-05,9799
131,9873,4.1500000000000545,2.825999999999994,17.55000000000025,0,0,3e-05,9873
132,9943,2.3499999999999357,2.842999999999993,17.55000000000025,0,0,3e-05,9943
133,10020,4.9500000000001805,2.8859999999999952,17.55000000000025,0,4.355794906616211,3e-05,10020
134,10067,-2.499999999999984,2.872999999999995,17.55000000000025,-17.720129013061523,4.371305465698242,3e-05,10067
135,10117,-2.249999999999991,2.815499999999996,17.55000000000025,-17.912839889526367,4.784877777099609,3e-05,10117
136,10178,-0.6000000000000485,2.783499999999996,17.55000000000025,0,4.671014785766602,3e-05,10178
