Episode,Total Steps,Episode Reward,Actor Loss,Critic Loss,Actor LR,Buffer Size
41,20481,-1.6865609050005101,nan,1.7732013463974,0.0003,20481
42,20544,-1.9986613698848652,nan,1.7072792053222656,0.0003,20544
43,20631,0.4044104443599661,nan,1.637904167175293,0.0003,20631
44,20689,0.5489922971209413,nan,0.8283839225769043,0.0003,20689
45,20746,-3.6267091480988203,nan,1.691841959953308,0.0003,20746
46,20808,0.75435573664274,nan,1.4904320240020752,0.0003,20808
47,20875,-1.0717403547361304,nan,1.6831645965576172,0.0003,20875
48,20911,-3.1300890722412866,nan,1.365412712097168,0.0003,20911
49,20988,1.0843356409726734,nan,1.05462646484375,0.0003,20988
50,21132,12.813217353914464,nan,0.9812319278717041,0.0003,21132
51,21183,-0.42221946586656145,nan,2.168973445892334,0.0003,21183
52,21233,-2.655732264073161,nan,1.246967077255249,0.0003,21233
53,21299,-0.42284530584093183,nan,1.4729771614074707,0.0003,21299
54,21356,-1.8235194556003762,nan,1.9342527389526367,0.0003,21356
55,21512,8.784612961615817,nan,2.028444528579712,0.0003,21512
56,22140,44.46769366397313,nan,2.5219216346740723,0.0003,22140
57,23740,123.92987525910196,nan,2.903285026550293,0.0003,23740
58,23822,-12.491514777258537,nan,1.7637279033660889,0.0003,23822
59,23900,-6.977230048562048,nan,1.8447248935699463,0.0003,23900
60,23960,-7.315976037651917,nan,2.0168979167938232,0.00015,23960
61,24014,-4.387010886131496,nan,2.028820753097534,0.00015,24014
62,24097,-2.39781217672276,nan,2.315627098083496,0.00015,24097
63,24247,0.8781591443940346,nan,2.2128610610961914,0.00015,24247
64,24408,14.331034888157248,nan,2.3533668518066406,0.00015,24408
65,24482,-4.710772948325795,nan,1.2594311237335205,0.00015,24482
66,24555,-5.669858064164111,nan,2.1072018146514893,0.00015,24555
67,24620,-3.4241655024646116,nan,2.8441481590270996,0.00015,24620
68,24703,-4.2645861504041305,nan,2.741692543029785,0.00015,24703
69,25122,32.70176932633994,nan,2.673676013946533,0.00015,25122
70,25166,-9.930530659573375,nan,3.497873544692993,0.00015,25166
71,25213,-10.730149024094002,nan,4.0522565841674805,0.00015,25213
72,25258,-7.8977066952323955,nan,3.1890854835510254,0.00015,25258
73,25305,-2.1405478561776983,nan,2.9810400009155273,0.00015,25305
74,25362,-8.580075728382678,nan,3.9283361434936523,0.00015,25362
75,25417,-7.265885026137321,nan,5.281950950622559,0.00015,25417
76,25463,-9.909075947444236,nan,1.4440795183181763,0.00015,25463
77,25566,-2.628366952884722,nan,2.7956387996673584,0.00015,25566
78,25606,-10.427260335244505,nan,0.9260908365249634,0.00015,25606
79,25656,-8.83323323018822,nan,4.586369514465332,0.00015,25656
80,25708,-8.008160951660019,nan,3.0948519706726074,0.00015,25708
81,25744,-10.074616931851889,nan,4.376559734344482,0.00015,25744
82,25786,-8.212570741690465,nan,3.6815578937530518,0.00015,25786
83,25825,-11.14702487115452,nan,2.615309238433838,0.00015,25825
84,25886,-8.694482017025798,nan,4.181869983673096,0.00015,25886
85,25925,-9.57870411709457,nan,4.079536437988281,0.00015,25925
86,25963,-9.69145204883356,nan,3.802464485168457,7.5e-05,25963
87,26074,6.544108893499919,nan,4.127261161804199,7.5e-05,26074
88,27674,271.1462417231674,nan,5.107728481292725,7.5e-05,27674
89,27726,-2.653238616583595,nan,5.038893699645996,7.5e-05,27726
90,27800,-6.871202606782803,nan,3.693251371383667,7.5e-05,27800
91,27920,-6.1407559954093145,nan,4.083085060119629,7.5e-05,27920
92,27987,-0.04811788645342041,nan,4.752692222595215,7.5e-05,27987
93,28112,-7.017654536121571,nan,6.160195350646973,7.5e-05,28112
94,28161,-6.910619838124976,nan,4.098006248474121,7.5e-05,28161
95,28260,-0.6854908562010191,nan,8.717216491699219,7.5e-05,28260
96,28330,-7.620806510567553,nan,3.5949888229370117,7.5e-05,28330
97,29930,409.8313920110761,nan,7.965651512145996,7.5e-05,29930
